Topic	SelfCheckQuestion	Verdict	Score	CriteriaBreakdown	TheoreticalGap	FileNeeded	SuggestedSection
24-optional	Why does returning null from an Optional-returning method violate its design API contract?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-map-concepts.md	### Optional in return type
24-optional	What is the key difference between Optional's map() and flatMap() methods in terms of signature and wrapping behavior?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-map-concepts.md	## Why map() and flatMap() Differ in Signature and Wrapping
24-optional	Why can flatMap() throw a NullPointerException when the mapping function returns null, while map() does not?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-map-concepts.md	## Why map() and flatMap() Differ in Signature and Wrapping
24-optional	Why is Optional not Serializable, and what are the implications of this for Java class design?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-map-concepts.md	## Why Optional Should Not Be Used for Fields or Parameters

17-annotation	Why do we need meta-annotations like @Retention and @Target?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-an-annotation-concepts.md	## Why @Target Exists: Restricting Scope and Preventing Misuse
17-annotation	What is the difference between SOURCE, CLASS, and RUNTIME retention policies at both the compiler and JVM level?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-an-annotation-concepts.md	## Why @Retention Exists and How Retention Policies Differ
17-annotation	How does the JVM process annotations at runtime using reflection under the hood (e.g., dynamic proxy classes)?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-documented-concepts.md	## Why Runtime Annotation Processing Uses Dynamic Proxies Under the Hood
17-annotation	Why is @Override processed at compile-time instead of runtime, and why does this design prevent silent bugs during refactoring?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-an-annotation-concepts.md	## @Override
17-annotation	Why can annotations only have elements of specific types (primitives, String, Class, enums, annotations, or 1D arrays of these) but not arbitrary objects or generics?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-documented-concepts.md	## Custom annotation
17-annotation	Why does @Inherited only apply to class declarations and not interfaces or methods, and what are the implications of this design constraint?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-documented-concepts.md	## @Inherited
16-enum	Why does the Java compiler compile enums into final classes extending java.lang.Enum?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-an-enum-concepts.md	## Why Enums Are Compiled to Final Classes Extending java.lang.Enum
16-enum	Why must enum constructors be implicitly or explicitly private, and what happens if you try to instantiate an enum using new or reflection?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-an-enum-concepts.md	## Why Enum Constructors Must Be Private
16-enum	How does the single-element Enum Singleton pattern guarantee thread safety and protect against reflection and serialization attacks?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-enum-implements-interface-concepts.md	## How Enum Singleton Works: Thread, Reflection, and Serialization Safety
16-enum	How do compiler-generated values() and valueOf(String) methods work under the hood, and why is calling values() in a hot loop considered a performance anti-pattern?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-an-enum-concepts.md	## Why values() Can Be a Performance Bottleneck
16-enum	Why is it safe to compare enum constants using the == operator instead of .equals(), and how does this relate to the JVM's instance control?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-an-enum-concepts.md	## Why Enums Are Safe to Compare Using the == Operator
16-enum	How can enum constants implement interfaces and define constant-specific class bodies to achieve behavioral polymorphism?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-enum-implements-interface-concepts.md	## Under the Hood: Constant-Specific Class Bodies and Anonymous Subclasses
30-regex	Why is compiling a Pattern computationally expensive, and why should Pattern.compile() be cached rather than calling String.matches() repeatedly in a hot loop?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-regex-concepts.md	## Why Pattern Compilation Is Expensive
30-regex	What are the key differences between capturing groups (group) and non-capturing groups (?:group) in terms of heap allocation and performance?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-regex-concepts.md	## Why Non-Capturing Groups Save Heap Allocations
30-regex	How do lookahead and lookbehind assertions function conceptually without consuming any input characters, and what is their "zero-width" nature?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-basic-lookahead-lookbehind-concepts.md	## Why Lookarounds are Zero-Width Assertions
30-regex	What is the technical width limitation of lookbehind assertions in Java's regex engine compared to lookahead, and why does it exist?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-basic-lookahead-lookbehind-concepts.md	## Why Java Lookbehinds Have Width Limitations
30-regex	Why does backtracking occur during regex execution, and how can greedy vs reluctant vs possessive quantifiers prevent catastrophic backtracking (ReDoS)?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-regex-concepts.md	## Why Backtracking Occurs and How Quantifiers Prevent ReDoS
30-regex	Why does String.split(regex) discard trailing empty strings by default, and how can passing a negative limit parameter prevent this behavior?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-basic-lookahead-lookbehind-concepts.md	## Why String.split Discards Trailing Empty Strings
25-date-time-api	Why is the legacy date and calendar API (java.util.Date, java.util.Calendar, java.text.SimpleDateFormat) flawed (e.g. mutability, index bias, thread-safety issues)?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-date-concepts.md	## Why the Legacy Date, Calendar, and SimpleDateFormat APIs Are Flawed
25-date-time-api	Why are modern Java 8 date-time objects (like LocalDate, LocalTime, ZonedDateTime) designed to be immutable and thread-safe, and what pattern is used to obtain modified instances?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-date-concepts.md	## Why Modern Java 8 Date-Time Objects Are Immutable and Thread-Safe
25-date-time-api	What is the difference in timezone representation and rules between OffsetDateTime, ZonedDateTime, and Instant?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-date-concepts.md	## Why We Distinguish Instant, OffsetDateTime, and ZonedDateTime
25-date-time-api	Why does java.time.format.DateTimeFormatter avoid the concurrency bugs of SimpleDateFormat?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-period-concepts.md	## Why DateTimeFormatter Is Completely Thread-Safe
25-date-time-api	How do Period and Duration differ in representation and behavior, particularly when added to a timezone-aware temporal object like ZonedDateTime across Daylight Saving Time (DST) changes?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-period-concepts.md	## Why Period and Duration Behave Differently (Daylight Saving Time Transitions)
25-date-time-api	How does ZonedDateTime handle invalid or overlapping local date-times resulting from DST transitions?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-period-concepts.md	## How ZonedDateTime Resolves Invalid and Overlapping Times (DST Shifts)
33-module-system	Why did Java 9 introduce the Module System (Project Jigsaw), and what security/reliability issues of the classpath did it solve?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-module-concepts.md	## What is a Module?
33-module-system	What is the difference between exports and opens in module-info.java, and how does opens affect reflection?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-module-concepts.md	## exports vs opens
33-module-system	How does the Module Path differ from the Classpath (modular classloading vs flat classloading)?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-module-concepts.md	## Classpath vs Module Path
33-module-system	What are automatic modules and unnamed modules, and how do they bridge the transition for legacy libraries?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-module-concepts.md	## Named, Unnamed, and Automatic Modules
33-module-system	Why are cyclic dependencies and split packages strictly forbidden under the Java Module System?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-module-concepts.md	## What is a Module?
38-build-compile-run	Why do we need build automation tools like Maven or Gradle instead of using javac and java directly for large-scale projects?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-javac-concepts.md	## Why Build Tools (Maven/Gradle) Are Essential
38-build-compile-run	How does Classpath resolution work at runtime, and what is the technical distinction between a NoClassDefFoundError and a ClassNotFoundException?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-javac-concepts.md	## Why Classpath Resolution Fails: NoClassDefFoundError vs ClassNotFoundException
38-build-compile-run	What is the purpose of the Manifest file (MANIFEST.MF) in a JAR, and how does it configure the JVM to make a JAR executable?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-javac-concepts.md	## Why Executable JARs Need MANIFEST.MF
38-build-compile-run	Why does placing production resource files in src/main/java/ instead of src/main/resources/ result in runtime lookup errors?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-standard-project-structure-concepts.md	## Why Standard Project Structure Separates Source Code and Resources
38-build-compile-run	How does dependency management handle transitive dependencies, and what mechanism is used to resolve version conflicts ("Jar Hell")?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-javac-concepts.md	## Why Build Tools (Maven/Gradle) Are Essential
38-build-compile-run	Why is it important to follow the assertEquals(expected, actual) argument order in JUnit, and what are the consequences of reversing them?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-standard-project-structure-concepts.md	## Why JUnit Assertion Order and Annotations Matter
39-utility-apis	Why should we use BigDecimal instead of double for monetary calculations? Explain in terms of unscaled value and scale versus IEEE 754 floating-point representation.	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-math-concepts.md	## Why BigDecimal is Precise: Unscaled Value and Scale Representation
39-utility-apis	Why does initializing a BigDecimal with a double literal (e.g., new BigDecimal(0.1)) introduce floating-point noise, and why is new BigDecimal("0.1") or BigDecimal.valueOf(0.1) preferred?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-math-concepts.md	## Why BigDecimal is Precise: Unscaled Value and Scale Representation
39-utility-apis	Why is Math.random() not cryptographically secure, and why does it suffer from thread contention in concurrent applications? What are the alternatives like ThreadLocalRandom or SecureRandom?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-math-concepts.md	## Why Random and Math.random() Have Flaws in Concurrency and Security
39-utility-apis	What is the fundamental difference in purpose and interaction style between the System and Runtime classes in Java?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-math-concepts.md	## System vs. Runtime: Purpose and JVM Interaction
39-utility-apis	Why can spawning an external process using ProcessBuilder cause the Java application to hang indefinitely, and how do we prevent this?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-math-concepts.md	### ProcessBuilder (Common Mistake / Failure Mode)
39-utility-apis	Why is using Map methods like put() on a Properties instance dangerous, and what is the proper way to set property values?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-properties-concepts.md	## Why Direct Map Manipulation of Properties is Dangerous
07-arrays	Why does the JVM allocate arrays as contiguous blocks of memory on the Heap, and how does this enable O(1) constant-time direct access?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-array-basics.md	## Why Arrays Have Fixed Size and Contiguous Memory Layout
07-arrays	Why are array elements automatically zero-initialized upon allocation, unlike local variables which trigger compilation errors if read before initialization?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-array-basics.md	## Why Array Elements are Automatically Zero-Initialized
07-arrays	Why does a multidimensional array in Java behave as an "array of arrays" rather than a single contiguous block, and what is its physical memory layout?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-array-basics.md	## Why Multidimensional Arrays are Arrays of Arrays
07-arrays	Why is `System.arraycopy()` faster than a manual loop, and why does it perform a shallow copy instead of a deep copy for object reference arrays?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-array-operations.md	## Why System.arraycopy is Performant and Shallow
07-arrays	Why does `Arrays.equals()` fail to compare the contents of multidimensional arrays correctly, requiring `Arrays.deepEquals()`?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-array-operations.md	## Why Arrays.equals Fails on Multidimensional Arrays
07-arrays	Why must an array be sorted in ascending order before calling `Arrays.binarySearch()`, and what does the returned negative value represent mathematically if the key is not found?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-array-operations.md	## Why Binary Search Requires Sorted Arrays and How Its Return Code Math Works
06-control-flow	Why does the dangling-else ambiguity occur in Java, and how does the compiler resolve it when braces are omitted?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-if-else-switch.md	## Why Dangling Else Ambiguity Occurs and How Java Resolves It
06-control-flow	Why do while loops check their condition before executing the body, whereas do-while loops check it after, and how does this affect compilation into bytecode?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-loops.md	## Under the Hood: How while and do-while Differ in Bytecode
06-control-flow	Why does the enhanced-for loop compile into different bytecode for arrays versus Iterable objects, and how does this relate to ConcurrentModificationException?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-loops.md	## Under the Hood: Array vs. Iterable Mechanics in Enhanced for Loops
06-control-flow	Why does a labeled break or continue work to control nested loops, and how does the JVM handle labeled control transfer at the bytecode level?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-break-continue-return.md	## Under the Hood: How the JVM Handles Labeled break and continue
06-control-flow	Why does Java enforce compile-time unreachable statement detection, and what static analysis mechanism does it use?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-break-continue-return.md	## Why Java Prohibits Unreachable Statements and How the Compiler Detects Them
06-control-flow	Why are switch expressions strictly required to be exhaustive by the compiler, whereas switch statements are not?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	04-switch-expression-labeled-control.md	## Why Switch Expressions Require Exhaustiveness and How It Is Enforced
08-string	Why is String immutable in Java, and how does this design decision impact security, thread-safety, and caching (String Pool)?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-string-basics.md	## Deep-Dive: The Mechanics and Security of Immutability
08-string	How does the JVM String Pool optimize memory usage, and what are the exact heap mechanics of s1 = "hello" versus s2 = new String("hello")?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-string-basics.md	## Deep-Dive: Memory Optimization and Heap Mechanics of the String Pool
08-string	Why does reference comparison (==) produce different results for pool-allocated versus heap-allocated strings, and why is .equals() required for content comparison?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-string-basics.md	## Deep-Dive: Reference Comparison (==) vs. Content Equality (.equals())
08-string	What are the mechanical differences between trim() and strip() regarding Unicode whitespace and codepoint processing?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-string-methods.md	## Deep-Dive: Mechanical Differences Between trim() and strip()
08-string	Why does StringBuilder outperform StringBuffer, and how does synchronization impact their performance and thread-safety?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-stringbuilder-stringbuffer.md	## Deep-Dive: Synchronization Overhead and Lock Contention Mechanics
11-package-access-control	Why does Java use packages for namespace isolation and reverse DNS naming conventions?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-package-concepts.md	## Why Java Uses Packages for Namespace Isolation and Reverse DNS
11-package-access-control	Why should the default package be avoided in production environments?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-package-concepts.md	## Why the Default Package Should Be Avoided in Production
11-package-access-control	Why do static imports increase code readability but also risk naming collisions?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-package-concepts.md	## Why Static Imports Balance Readability and Naming Collision Risks
11-package-access-control	Why does Classpath differ from Module path regarding package access constraints?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-package-concepts.md	## Why Classpath and Module Path Differ in Package Access Constraints
11-package-access-control	Why does default (package-private) access control exist, and how does it prevent external classes from accessing package-internal implementation details?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-package-concepts.md	## Why Default (Package-Private) Access Controls Internal Package Access
11-package-access-control	Why does the Java compiler/runtime enforce a strict relationship between a class's package declaration and its physical directory structure?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-what-is-a-package-concepts.md	## Why Directory Structures Must Mirror Package Declarations
10-modifiers	Why does the `private` modifier prevent inheritance and external access, and how does it support encapsulation?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	01-access-modifier-concepts.md	## Why Private Restricts Access and Supports Encapsulation
10-modifiers	Why are `static` members allocated per class in Metaspace instead of on the Heap, and how are they shared across all instances?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-abstract-concepts.md	## Why Static Members are Allocated in Metaspace and Shared
10-modifiers	Why do `final` variables prevent re-assignment, and how does this enable compiler optimizations like inlining?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	03-static-block-concepts.md	## Why Final Variables Prevent Re-Assignment and Enable Inlining
10-modifiers	Why do `synchronized` methods rely on monitor locks, and how does lock reentrancy prevent a thread from deadlocking itself?	PASS	5/5	Mechanism:1,MentalModel:1,Example:1,CauseEffect:1,Standalone:1	None	02-abstract-concepts.md	## Why Synchronized Methods Use Monitor Locks and Reentrancy
